 isaplanner_prop_76; b'unsat\n'
 tip2015_sort_nat_NMSortTDCount; b'unsat\n'
 tip2015_sort_nat_NStoogeSort2IsSort; b'unsat\n'
 prod_prop_28; b'unsat\n'
 prod_prop_20; TIMEOUT
 isaplanner_prop_68; b'unsat\n'
 false_regexp_deluxe_FromToConj; b'sat\n'
 isaplanner_prop_25; b'unsat\n'
 tip2015_regexp_PlusCommutative; TIMEOUT
 tip2015_propositional_AndImplication; TIMEOUT
 isaplanner_prop_64; b'unsat\n'
 tip2015_sort_BubSortCount; b'unsat\n'
 tip2015_sort_nat_BSortIsSort; b'unsat\n'
 prod_prop_30; b'unsat\n'
 isaplanner_prop_58; b'unsat\n'
 tip2015_sort_HSortCount; b'unsat\n'
 tip2015_sort_nat_NStoogeSortIsSort; b'unsat\n'
 tip2015_sort_nat_HSortSorts; b'unsat\n'
 tip2015_sort_BubSortIsSort; b'unsat\n'
 false_productive_use_of_failure_drop_idem; b'unsat\n'
 tip2015_sort_nat_BSortCount; b'unsat\n'
 isaplanner_prop_70; b'unsat\n'
 false_regexp_deluxe_Conj0; TIMEOUT
 tip2015_sort_BSortCount; b'unsat\n'
 tip2015_sort_NStoogeSortSorts; b'unsat\n'
 tip2015_nat_min_max_distrib; b'unsat\n'
 false_regexp_kfind7; TIMEOUT
 isaplanner_prop_11; b'unsat\n'
 tip2015_sort_NMSortTDSorts; b'sat\n'
 tip2015_list_nat_append_inj_2; b'unsat\n'
 tip2015_sort_nat_MSortBU2IsSort; b'unsat\n'
 tip2015_bin_nat_s; b'unsat\n'
 false_regexp_deluxe_star_seq; TIMEOUT
 isaplanner_prop_40; b'unsat\n'
 tip2015_sort_nat_HSort2Sorts; b'unsat\n'
 prod_prop_24; TIMEOUT
 false_regexp_deluxe_iter; TIMEOUT
 grammars_simp_expr_unambig2; TIMEOUT
 tip2015_relaxedprefix_is_prefix_4; TIMEOUT
 false_productive_use_of_failure_rot_inj0; b'unsat\n'
 isaplanner_prop_33; b'unsat\n'
 prod_prop_21; b'unsat\n'
 tip2015_nat_boring_max_min_abs; b'unsat\n'
 false_imperative_Apa; b'unsat\n'
 tip2015_bin_nat_plus; b'unsat\n'
 isaplanner_prop_24; b'unsat\n'
 tip2015_nat_boring_gt_asymmetric; b'unsat\n'
 prod_prop_42; b'unsat\n'
 tip2015_bin_times_assoc; TIMEOUT
 false_productive_use_of_failure_drop_comm; b'unsat\n'
 tip2015_propositional_AndCommutative; TIMEOUT
 false_productive_use_of_failure_union_idem; b'unsat\n'
 false_regexp_star_seq; TIMEOUT
 tip2015_regexp_SeqAssociative; TIMEOUT
 tip2015_tree_Flatten1; b'unsat\n'
 tip2015_sort_nat_NMSortTDSorts; b'unsat\n'
 tip2015_sort_MSortTDSorts; b'unsat\n'
 false_regexp_kfind2; TIMEOUT
 tip2015_sort_NStoogeSortIsSort; b'unsat\n'
 false_productive_use_of_failure_drop_inj2; b'unsat\n'
 tip2015_int_mul_assoc; b'unsat\n'
 prod_prop_49; b'unsat\n'
 false_regexp_find1; TIMEOUT
 isaplanner_prop_16; b'unsat\n'
 tip2015_int_mul_ident_right; b'unsat\n'
 tip2015_propositional_AndIdempotent; b'sat\n'
 false_regexp_deluxe_koen; TIMEOUT
 tip2015_regexp_PlusIdempotent; b'sat\n'
 tip2015_sort_nat_NStoogeSort2Count; b'unsat\n'
 prod_prop_12; b'unsat\n'
 isaplanner_prop_37; b'unsat\n'
 tip2015_regexp_RecSeq; TIMEOUT
 tip2015_bin_times; b'unsat\n'
 prod_prop_05; b'unsat\n'
 tip2015_nat_boring_gt_irreflexive; b'unsat\n'
 isaplanner_prop_50; b'unsat\n'
 tip2015_sort_nat_StoogeSortCount; b'unsat\n'
 isaplanner_prop_26; b'unsat\n'
 false_regexp_deluxe_bad_assoc; TIMEOUT
 tip2015_sort_nat_BubSortSorts; b'unsat\n'
 false_graph_p21; TIMEOUT
 prod_prop_43; b'unsat\n'
