benchmark,pure-adt,adt-lia
false_regexp_deluxe_koen,TIMEOUT,TIMEOUT
tip2015_sort_nat_BSortIsSort,TIMEOUT,SAT
tip2015_sort_nat_NStoogeSort2Sorts,TIMEOUT,TIMEOUT
grammars_packrat_unambigPackrat,TIMEOUT,TIMEOUT
isaplanner_prop_62,TIMEOUT,TIMEOUT
false_regexp_kfind1,TIMEOUT,TIMEOUT
tip2015_escape_NoSpecial,TIMEOUT,TIMEOUT
tip2015_sort_nat_MSortTDSorts,TIMEOUT,TIMEOUT
false_regexp_deluxe_star_seq,TIMEOUT,TIMEOUT
false_hotel_key_safe1,TIMEOUT,TIMEOUT
false_graph_p5,TIMEOUT,TIMEOUT
isaplanner_prop_11,TIMEOUT,TIMEOUT
tip2015_sort_ISortCount,TIMEOUT,TIMEOUT
tip2015_sort_nat_HSort2IsSort,TIMEOUT,TIMEOUT
tip2015_sort_MSortTDSorts,TIMEOUT,TIMEOUT
tip2015_sort_nat_MSortTDIsSort,TIMEOUT,TIMEOUT
tip2015_sort_TSortCount,TIMEOUT,TIMEOUT
tip2015_sort_nat_NMSortTDCount,TIMEOUT,TIMEOUT
tip2015_sort_nat_StoogeSortCount,TIMEOUT,TIMEOUT
tip2015_sort_nat_StoogeSortSorts,TIMEOUT,TIMEOUT
prod_prop_12,TIMEOUT,TIMEOUT
prod_prop_09,TIMEOUT,TIMEOUT
tip2015_escape_Injective,TIMEOUT,TIMEOUT
prod_prop_28,TIMEOUT,TIMEOUT
isaplanner_prop_64,TIMEOUT,TIMEOUT
tip2015_sort_BSortCount,TIMEOUT,SAT
false_graph_d5,TIMEOUT,SAT
isaplanner_prop_19,TIMEOUT,TIMEOUT
false_hotel_key_safe3,TIMEOUT,TIMEOUT
tip2015_list_append_inj_1,TIMEOUT,TIMEOUT
isaplanner_prop_76,TIMEOUT,TIMEOUT
tip2015_sort_MSortBU2IsSort,TIMEOUT,TIMEOUT
isaplanner_prop_78,TIMEOUT,TIMEOUT
isaplanner_prop_61,TIMEOUT,TIMEOUT
isaplanner_prop_20,TIMEOUT,TIMEOUT
prod_prop_10,TIMEOUT,TIMEOUT
false_regexp_star_seq,TIMEOUT,TIMEOUT
isaplanner_prop_16,SAT,SAT
false_regexp_find1,TIMEOUT,TIMEOUT
false_regexp_kfind5,TIMEOUT,TIMEOUT
isaplanner_prop_50,TIMEOUT,TIMEOUT
tip2015_sort_BSortSorts,SAT,SAT
tip2015_sort_MSortBU2Sorts,TIMEOUT,TIMEOUT
tip2015_rotate_snoc_self,TIMEOUT,TIMEOUT
prod_prop_19,TIMEOUT,TIMEOUT
false_regexp_find3,TIMEOUT,TIMEOUT
isaplanner_prop_30,TIMEOUT,TIMEOUT
tip2015_regexp_PlusIdempotent,SAT,SAT
tip2015_sort_HSort2Count,TIMEOUT,TIMEOUT
prod_prop_49,TIMEOUT,TIMEOUT
tip2015_sort_nat_TSortSorts,TIMEOUT,TIMEOUT
tip2015_sort_nat_TSortCount,TIMEOUT,TIMEOUT
false_regexp_kfind3,TIMEOUT,TIMEOUT
tip2015_sort_nat_NStoogeSort2IsSort,TIMEOUT,TIMEOUT
tip2015_sort_NStoogeSort2IsSort,TIMEOUT,TIMEOUT
isaplanner_prop_05,TIMEOUT,TIMEOUT
prod_prop_04,TIMEOUT,TIMEOUT
isaplanner_prop_83,TIMEOUT,TIMEOUT
tip2015_list_PairUnpair,SAT,SAT
false_hotel_key_safe2,TIMEOUT,TIMEOUT
prod_prop_29,TIMEOUT,TIMEOUT
tip2015_sort_nat_HSortSorts,TIMEOUT,TIMEOUT
false_productive_use_of_failure_rot_inj1,TIMEOUT,TIMEOUT
false_regexp_find5,TIMEOUT,TIMEOUT
isaplanner_prop_44,TIMEOUT,TIMEOUT
prod_prop_03,TIMEOUT,TIMEOUT
false_regexp_bad_assoc,TIMEOUT,TIMEOUT
false_graph_p21,TIMEOUT,TIMEOUT
tip2015_propositional_AndImplication,TIMEOUT,TIMEOUT
tip2015_sort_ISortSorts,TIMEOUT,TIMEOUT
prod_prop_27,TIMEOUT,TIMEOUT
prod_prop_48,TIMEOUT,TIMEOUT
tip2015_rotate_structural_mod,TIMEOUT,TIMEOUT
tip2015_list_nat_append_inj_2,TIMEOUT,TIMEOUT
false_cfg5_unambig,TIMEOUT,TIMEOUT
false_graph_p7,TIMEOUT,TIMEOUT
tip2015_rotate_self,TIMEOUT,TIMEOUT
isaplanner_prop_39,TIMEOUT,TIMEOUT
tip2015_regexp_RecStar,TIMEOUT,TIMEOUT
isaplanner_prop_28,TIMEOUT,TIMEOUT
tip2015_bin_nat_plus_comm,TIMEOUT,TIMEOUT
false_queue1_QueueR,TIMEOUT,TIMEOUT
tip2015_list_append_inj_2,TIMEOUT,TIMEOUT
tip2015_bin_nat_distrib,TIMEOUT,TIMEOUT
tip2015_sort_nat_HSortCount,TIMEOUT,TIMEOUT
tip2015_bin_nat_times_comm,TIMEOUT,TIMEOUT
prod_prop_06,TIMEOUT,TIMEOUT
tip2015_tree_SwapAB,TIMEOUT,TIMEOUT
tip2015_tree_Flatten2,TIMEOUT,TIMEOUT
tip2015_propositional_AndIdempotent,SAT,SAT
false_regexp_kfind4,TIMEOUT,TIMEOUT
tip2015_sort_NMSortTDSorts,SAT,SAT
false_queue1_QueueL,TIMEOUT,UNSAT
tip2015_sort_BubSortIsSort,TIMEOUT,TIMEOUT
tip2015_sort_TSortSorts,TIMEOUT,TIMEOUT
tip2015_list_Interleave,TIMEOUT,TIMEOUT
isaplanner_prop_59,TIMEOUT,TIMEOUT
isaplanner_prop_26,TIMEOUT,TIMEOUT
false_regexp_deluxe_star_plus,TIMEOUT,TIMEOUT
grammars_simp_expr_unambig5,TIMEOUT,TIMEOUT
tip2015_sort_StoogeSortIsSort,TIMEOUT,TIMEOUT
tip2015_regexp_SeqDistrPlus,TIMEOUT,TIMEOUT
tip2015_sort_HSortCount,TIMEOUT,TIMEOUT
prod_prop_25,TIMEOUT,TIMEOUT
isaplanner_prop_52,TIMEOUT,TIMEOUT
tip2015_regexp_RecSeq,TIMEOUT,TIMEOUT
tip2015_regexp_Reverse,TIMEOUT,TIMEOUT
false_graph_bt5,TIMEOUT,TIMEOUT
tip2015_sort_nat_StoogeSortIsSort,TIMEOUT,TIMEOUT
false_regexp_kfind6,TIMEOUT,TIMEOUT
isaplanner_prop_49,TIMEOUT,TIMEOUT
prod_prop_05,TIMEOUT,TIMEOUT
tip2015_sort_nat_NStoogeSortCount,TIMEOUT,TIMEOUT
false_regexp_deluxe_bad_assoc,TIMEOUT,TIMEOUT
tip2015_relaxedprefix_correct,TIMEOUT,TIMEOUT
false_productive_use_of_failure_rot_uhhhw2,UNSAT,UNSAT
false_queue3_QueueL,TIMEOUT,UNSAT
isaplanner_prop_84,TIMEOUT,TIMEOUT
tip2015_sort_nat_NStoogeSortIsSort,TIMEOUT,TIMEOUT
prod_prop_11,TIMEOUT,TIMEOUT
tip2015_regexp_RecEps,TIMEOUT,TIMEOUT
prod_prop_02,TIMEOUT,TIMEOUT
isaplanner_prop_82,TIMEOUT,TIMEOUT
tip2015_relaxedprefix_is_prefix_3,TIMEOUT,TIMEOUT
tip2015_sort_MSortBU2Count,TIMEOUT,TIMEOUT
isaplanner_prop_15,TIMEOUT,TIMEOUT
isaplanner_prop_71,TIMEOUT,TIMEOUT
false_regexp_star_plus,TIMEOUT,TIMEOUT
prod_prop_20,TIMEOUT,TIMEOUT
tip2015_regexp_RecPlus,TIMEOUT,TIMEOUT
false_productive_use_of_failure_len_bs,UNSAT,UNSAT
prod_prop_30,TIMEOUT,TIMEOUT
false_graph_t5,TIMEOUT,TIMEOUT
tip2015_sort_nat_MSortBU2Sorts,TIMEOUT,TIMEOUT
tip2015_relaxedprefix_is_prefix_4,TIMEOUT,TIMEOUT
prod_prop_41,TIMEOUT,TIMEOUT
prod_prop_07,TIMEOUT,TIMEOUT
grammars_simp_expr_unambig2,TIMEOUT,TIMEOUT
tip2015_list_weird_is_normal,TIMEOUT,TIMEOUT
isaplanner_prop_77,TIMEOUT,TIMEOUT
tip2015_rotate_mod,TIMEOUT,UNSAT
tip2015_bin_nat_plus,TIMEOUT,TIMEOUT
false_graph_bt4,TIMEOUT,TIMEOUT
false_productive_use_of_failure_rot_uhhhw1,UNSAT,UNSAT
tip2015_bin_plus_assoc,TIMEOUT,TIMEOUT
tip2015_relaxedprefix_is_prefix_1,TIMEOUT,TIMEOUT
false_graph_p9,TIMEOUT,TIMEOUT
tip2015_sort_nat_StoogeSort2Sorts,TIMEOUT,TIMEOUT
tip2015_regexp_Star,TIMEOUT,TIMEOUT
tip2015_sort_nat_BubSortIsSort,TIMEOUT,TIMEOUT
grammars_simp_expr_unambig4,TIMEOUT,TIMEOUT
isaplanner_prop_53,TIMEOUT,TIMEOUT
tip2015_bin_s,TIMEOUT,TIMEOUT
prod_prop_40,TIMEOUT,TIMEOUT
isaplanner_prop_72,TIMEOUT,TIMEOUT
prod_prop_37,TIMEOUT,TIMEOUT
tip2015_sort_nat_BubSortSorts,TIMEOUT,TIMEOUT
false_regexp_find6,TIMEOUT,TIMEOUT
tip2015_sort_nat_ISortCount,TIMEOUT,TIMEOUT
isaplanner_prop_29,TIMEOUT,TIMEOUT
tip2015_sort_nat_NMSortTDIsSort,TIMEOUT,TIMEOUT
tip2015_list_nat_Interleave,TIMEOUT,TIMEOUT
false_productive_use_of_failure_rot_comm,TIMEOUT,TIMEOUT
isaplanner_prop_13,TIMEOUT,TIMEOUT
isaplanner_prop_86,TIMEOUT,TIMEOUT
false_regexp_deluxe_iter,TIMEOUT,TIMEOUT
false_productive_use_of_failure_rot_uhhh,TIMEOUT,TIMEOUT
tip2015_sort_NStoogeSortCount,TIMEOUT,TIMEOUT
prod_prop_18,TIMEOUT,TIMEOUT
prod_prop_08,TIMEOUT,TIMEOUT
isaplanner_prop_80,TIMEOUT,TIMEOUT
tip2015_sort_BubSortSorts,TIMEOUT,TIMEOUT
false_productive_use_of_failure_drop_inj1,UNSAT,UNSAT
tip2015_sort_NMSortTDIsSort,TIMEOUT,TIMEOUT
false_regexp_find4,TIMEOUT,TIMEOUT
false_regexp_star_plus_easy_2,TIMEOUT,TIMEOUT
tip2015_regexp_Deeps,TIMEOUT,TIMEOUT
isaplanner_prop_37,TIMEOUT,TIMEOUT
tip2015_sort_BSortIsSort,TIMEOUT,SAT
prod_prop_44,TIMEOUT,TIMEOUT
isaplanner_prop_56,TIMEOUT,TIMEOUT
tip2015_sort_nat_StoogeSort2IsSort,TIMEOUT,TIMEOUT
tip2015_sort_StoogeSort2IsSort,TIMEOUT,TIMEOUT
prod_prop_43,TIMEOUT,TIMEOUT
tip2015_rotate_snoc,TIMEOUT,TIMEOUT
false_regexp_kfind7,TIMEOUT,TIMEOUT
false_graph_btp5,TIMEOUT,TIMEOUT
tip2015_regexp_SeqAssociative,TIMEOUT,TIMEOUT
false_regexp_star_plus_1,TIMEOUT,TIMEOUT
false_regexp_find2,TIMEOUT,TIMEOUT
isaplanner_prop_48,TIMEOUT,TIMEOUT
tip2015_bin_times,TIMEOUT,TIMEOUT
false_graph_p11,TIMEOUT,TIMEOUT
false_productive_use_of_failure_drop_comm,TIMEOUT,TIMEOUT
isaplanner_prop_46,SAT,SAT
prod_prop_38,TIMEOUT,TIMEOUT
tip2015_sort_nat_NMSortTDSorts,TIMEOUT,TIMEOUT
tip2015_sort_MSortTDCount,TIMEOUT,TIMEOUT
isaplanner_prop_51,TIMEOUT,TIMEOUT
tip2015_sort_nat_BubSortCount,TIMEOUT,TIMEOUT
tip2015_bin_nat_times,TIMEOUT,TIMEOUT
false_regexp_koen_easy,TIMEOUT,TIMEOUT
false_regexp_kfind2,TIMEOUT,TIMEOUT
isaplanner_prop_60,TIMEOUT,TIMEOUT
isaplanner_prop_74,TIMEOUT,TIMEOUT
tip2015_sort_TSortIsSort,TIMEOUT,TIMEOUT
prod_prop_36,TIMEOUT,TIMEOUT
tip2015_sort_nat_MSortBU2IsSort,TIMEOUT,TIMEOUT
prod_prop_50,TIMEOUT,TIMEOUT
false_regexp_deluxe_FromToConj,SAT,TIMEOUT
tip2015_sort_StoogeSortCount,TIMEOUT,TIMEOUT
tip2015_bin_times_assoc,TIMEOUT,TIMEOUT
tip2015_sort_nat_HSort2Count,TIMEOUT,TIMEOUT
tip2015_sort_NStoogeSortSorts,TIMEOUT,TIMEOUT
tip2015_sort_nat_BSortSorts,SAT,SAT
tip2015_sort_NMSortTDCount,TIMEOUT,TIMEOUT
prod_prop_42,TIMEOUT,TIMEOUT
tip2015_bin_nat_times_assoc,TIMEOUT,TIMEOUT
